Order_ID,Order_Date,Product,Category,Quantity,Unit_Price,Discount,Sales,Region,City,Customer_Type,Payment_Mode,Profit
ORD100304,2024-04-01,Printer Paper,Stationery,4.0,535.45,0.05,2034.71,South,Bengaluru,Regular,Cash,422.58
ORD105867,2023-10-05,Tea Pack,Groceries,9.0,140.94,0.05,1205.04,North,Chandigarh,Corporate,Cash,-27.06
ORD103083,2024-07-17,Study Table,Furniture,2.0,5384.35,,8614.96,Central,Raipur,Regular,UPI,1650.27
ORD103756,2024-12-09,Bookshelf,Furniture,3.0,5237.36,0.0,15712.08,West,Pune,New,UPI,2198.18
ORD108016,2023-07-13,Tablet,Electronics,1.0,14544.83,0.05,13817.59,East,Guwahati,New,UPI,1122.21
ORD101942,2024-02-14,Office Chair,Furniture,3.0,10664.08,0.0,31992.24,East,Patna,Regular,UPI,5919.12
ORD103015,2024-09-12,Jeans,Clothing,5.0,806.1,0.15,3425.92,North,Chandigarh,New,Credit Card,1147.67
ORD107580,2024-04-08,Tea Pack,Groceries,11.0,415.43,0.05,4341.24,West,Mumbai,New,UPI,273.47
ORD100034,2023-04-04,Formal Shirt,Clothing,2.0,1754.55,0.15,2982.73,North,Lucknow,Premium,UPI,693.84
ORD106474,2023-12-02,Art Kit,Stationery,2.0,479.76,0.15,815.59,South,Kochi,Premium,UPI,184.43
ORD107430,2023-12-05,Pen Pack,Stationery,10.0,206.99,0.1,1862.91,West,Surat,Regular,Credit Card,517.64
ORD107412,2024-02-21,Tablet,Electronics,1.0,36901.62,0.15,31366.38,West,Surat,New,Cash,2931.54
ORD109631,2023-07-11,Laptop,Electronics,2.0,47743.45,0.25,71615.17,West,Surat,New,UPI,5644.38
ORD108769,2023-06-27,Headphones,Electronics,3.0,3492.59,0.1,9429.99,South,Chennai,,Debit Card,108.73
ORD102699,2024-06-15,Tablet,Electronics,3.0,12121.25,,32727.38,West,Mumbai,Regular,Credit Card,2218.1
ORD100312,2024-09-16,Cooking Oil,Groceries,9.0,338.18,0.1,2739.26,West,Mumbai,New,Net Banking,24.3
ORD105471,2024-03-02,Sneakers,Clothing,3.0,3039.41,0.05,8662.32,West,Surat,Premium,Credit Card,3088.15
ORD102392,2024-01-10,Smart Watch,Electronics,3.0,1834.01,0.1,4951.83,South,Chennai,Regular,UPI,360.23
ORD107465,2024-11-08,T-Shirt,Clothing,4.0,1395.94,0.3,3908.63,North,Delhi,Regular,UPI,767.67
ORD108615,2024-09-23,Smart Watch,Electronics,1.0,21978.16,0.15,18681.44,West,Pune,Corporate,Credit Card,1080.05
ORD102484,2023-05-11,Bookshelf,Furniture,1.0,11341.4,0.1,10207.26,East,Guwahati,Regular,Net Banking,2094.62
ORD107989,2024-11-08,Laptop,Electronics,2.0,72660.77,0.05,138055.46,South,Kochi,Corporate,Cash,18063.7
ORD108349,2023-01-06,Tea Pack,Groceries,6.0,507.27,0.1,2739.26,North,Chandigarh,Regular,Debit Card,99.49
ORD104430,2023-09-27,Printer Paper,Stationery,11.0,1033.86,0.0,11372.46,Central,Raipur,New,UPI,2480.16
ORD105429,2023-01-11,Laptop,Electronics,3.0,60551.53,0.1,163489.13,East,Kolkata,Regular,Credit Card,9890.28
ORD109267,2024-09-21,Jacket,Clothing,5.0,6027.51,0.0,30137.55,South,Chennai,Premium,Debit Card,10319.15
ORD108120,2024-05-06,Snacks Combo,Groceries,2.0,445.79,0.0,891.58,North,Delhi,Premium,Debit Card,47.61
ORD103704,2023-11-15,Printer Paper,Stationery,4.0,543.67,0.25,1631.01,South,Bengaluru,Regular,Debit Card,267.65
ORD101124,2024-12-11,Office Chair,Furniture,3.0,8454.71,,24095.92,North,Delhi,Corporate,UPI,6606.55
ORD102827,2023-10-15,Sofa,Furniture,3.0,49933.21,0.1,134819.67,South,Chennai,Regular,UPI,19845.59
ORD105820,2024-01-08,Formal Shirt,Clothing,6.0,1381.1,0.0,8286.6,West,Pune,Regular,Credit Card,2941.42
ORD107418,2024-10-10,T-Shirt,Clothing,1.0,303.4,0.2,242.72,North,,Premium,Cash,77.86
ORD105633,2023-09-03,Jacket,Clothing,4.0,6941.61,0.05,26378.12,South,Bengaluru,Premium,Debit Card,5511.45
ORD107607,2023-04-07,Jacket,Clothing,4.0,4859.86,0.2,15551.55,North,Jaipur,Regular,UPI,6240.04
ORD109326,2023-04-20,T-Shirt,Clothing,3.0,1126.68,0.05,3211.04,West,Mumbai,New,Credit Card,909.19
ORD107114,2023-02-10,Jeans,Clothing,5.0,1251.22,0.0,6256.1,South,Hyderabad,Corporate,Cash,2418.09
ORD103818,2024-08-29,Snacks Combo,Groceries,5.0,535.86,0.0,2679.3,North,Chandigarh,New,Cash,
ORD108250,2023-11-11,Backpack,Stationery,11.0,1141.78,0.05,11931.6,West,,Corporate,Cash,2530.18
ORD105838,2024-04-20,Laptop,Electronics,3.0,77689.69,0.2,186455.26,East,Bhubaneswar,Premium,Credit Card,6546.84
ORD109234,2024-12-21,Tablet,Electronics,1.0,15462.98,0.25,11597.24,West,Mumbai,Corporate,UPI,799.09
ORD101161,2024-11-23,Sneakers,Clothing,3.0,6576.83,0.2,15784.39,North,Lucknow,Regular,Net Banking,4792.02
ORD107455,2023-11-20,Sneakers,Clothing,1.0,5319.06,0.0,5319.06,North,Lucknow,Premium,Debit Card,1769.36
ORD100625,2023-05-22,Sneakers,Clothing,1.0,1281.11,,1281.11,North,Delhi,Premium,UPI,376.49
ORD108350,2024-06-21,Snacks Combo,Groceries,13.0,497.92,0.0,6472.96,South,Kochi,,Cash,490.98
ORD103465,2023-12-27,Sofa,Furniture,3.0,43355.79,0.05,123564.0,West,Mumbai,Corporate,Debit Card,21502.18
ORD104061,2024-02-22,Tablet,Electronics,1.0,39709.39,0.15,33752.98,South,Kochi,Corporate,Debit Card,3180.25
ORD108805,2023-02-01,Jacket,Clothing,6.0,4643.33,0.05,26466.98,South,Hyderabad,Premium,UPI,5955.97
ORD109170,2024-09-27,Cooking Oil,Groceries,5.0,733.16,0.0,3665.8,East,Guwahati,Premium,Net Banking,71.66
ORD106170,2024-12-17,Coffee Pack,Groceries,4.0,1145.49,0.0,4581.96,East,Guwahati,Premium,Cash,367.75
ORD104891,2023-06-22,Notebook Set,Stationery,3.0,510.82,0.1,1379.21,East,Kolkata,Corporate,Debit Card,408.11
ORD109132,2023-06-24,Cooking Oil,Groceries,12.0,868.17,,8855.33,North,Chandigarh,Regular,UPI,351.11
ORD103922,2023-12-09,Sneakers,Clothing,6.0,7028.38,0.0,42170.28,North,Lucknow,New,Cash,18715.23
ORD101027,2023-09-16,Headphones,Electronics,2.0,1958.99,0.05,3722.08,West,Surat,Premium,UPI,520.39
ORD101766,2024-08-29,Art Kit,Stationery,2.0,1714.35,0.1,3085.83,Central,Nagpur,Regular,Net Banking,753.48
ORD104197,2023-08-02,Formal Shirt,Clothing,2.0,1843.87,0.1,3318.97,North,Jaipur,New,Debit Card,978.67
ORD107173,2023-03-03,Backpack,Stationery,6.0,1725.5,0.1,9317.7,Central,Raipur,New,Net Banking,2511.04
ORD101225,2023-09-23,Bed Frame,Furniture,3.0,28880.22,0.05,82308.63,South,Bengaluru,Corporate,Cash,18029.6
ORD108860,2023-08-15,Laptop,Electronics,1.0,86712.84,0.05,82377.2,Central,Bhopal,Premium,Credit Card,9504.07
ORD105309,2024-03-07,Smartphone,Electronics,1.0,55411.81,0.05,52641.22,Central,Indore,,Net Banking,4531.79
ORD101834,2024-11-18,Smartphone,Electronics,2.0,73268.01,0.0,146536.02,West,Ahmedabad,Corporate,UPI,19459.87
ORD107075,2023-11-02,Tea Pack,Groceries,13.0,470.66,0.05,5812.65,West,Pune,New,Debit Card,473.76
ORD102305,2024-08-04,Printer Paper,Stationery,13.0,731.32,0.1,8556.44,West,Pune,Corporate,Cash,
ORD100097,2023-08-28,Office Chair,Furniture,2.0,13496.02,0.1,24292.84,West,Mumbai,Regular,Cash,4968.38
ORD101023,2023-08-08,Pen Pack,Stationery,7.0,96.52,0.05,641.86,Central,Indore,Regular,UPI,125.86
ORD101517,2023-03-11,Jeans,Clothing,5.0,2775.45,0.1,12489.52,East,Guwahati,New,Debit Card,4897.4
ORD103616,2024-05-27,T-Shirt,Clothing,5.0,1124.0,0.2,4496.0,South,Chennai,New,Debit Card,1244.51
ORD100451,2023-08-05,Art Kit,Stationery,11.0,312.87,0.15,2925.33,South,Bengaluru,Premium,Net Banking,829.28
ORD107311,2023-01-15,Pen Pack,Stationery,13.0,369.96,0.0,4809.48,West,Ahmedabad,Regular,UPI,1303.76
ORD105831,2023-11-22,Bookshelf,Furniture,2.0,11244.45,0.3,15742.23,South,Hyderabad,Regular,UPI,2012.28
ORD100511,2023-08-19,Backpack,Stationery,7.0,994.46,0.1,6265.1,North,Delhi,Regular,EMI,1672.51
ORD105866,2023-11-28,Formal Shirt,Clothing,2.0,1188.74,0.0,2377.48,South,Bengaluru,Corporate,UPI,916.01
ORD101085,2023-11-26,Bluetooth Speaker,Electronics,3.0,1962.96,0.1,5299.99,West,Surat,Premium,UPI,505.1
ORD105129,2024-11-28,Cooking Oil,Groceries,13.0,242.86,0.0,3157.18,North,Chandigarh,Regular,Debit Card,200.16
ORD106028,2024-09-20,Tea Pack,Groceries,7.0,640.63,0.05,4260.19,East,Patna,Regular,Net Banking,41.52
ORD105191,2024-10-31,Coffee Pack,Groceries,4.0,1338.3,0.1,4817.88,South,Chennai,Regular,UPI,300.54
ORD106150,2024-08-23,Pen Pack,Stationery,15.0,291.74,0.0,4376.1,North,Lucknow,Regular,UPI,849.04
ORD105826,2023-08-11,Jacket,Clothing,6.0,4964.25,0.15,25317.68,South,Kochi,Regular,UPI,8856.44
ORD100484,2023-07-02,Snacks Combo,Groceries,1.0,301.39,0.15,256.18,North,Lucknow,Regular,UPI,12.29
ORD102988,2024-12-09,Snacks Combo,Groceries,5.0,620.93,0.05,2949.42,South,Kochi,Regular,Debit Card,65.61
ORD104120,2024-10-18,Smartphone,Electronics,2.0,65180.61,0.05,123843.16,South,Hyderabad,New,UPI,4493.83
ORD100260,2024-05-12,Sneakers,Clothing,5.0,2713.2,0.0,13566.0,North,Lucknow,Premium,UPI,4230.1
ORD107583,2023-06-17,Cooking Oil,Groceries,1.0,602.61,0.0,602.61,Central,Raipur,New,Credit Card,21.96
ORD100032,2023-11-30,Bluetooth Speaker,Electronics,2.0,10353.22,0.15,17600.47,South,Hyderabad,Regular,Cash,-386.24
ORD100036,2023-01-04,Smartphone,Electronics,1.0,22079.3,0.0,22079.3,North,Delhi,Regular,Net Banking,4698.03
ORD107681,2024-12-04,Sofa,Furniture,2.0,59012.1,0.1,106221.78,West,Surat,Corporate,Cash,21067.74
ORD107591,2023-04-12,Tablet,Electronics,1.0,31690.71,0.0,31690.71,North,Delhi,New,Credit Card,4698.55
ORD104519,2023-12-10,Tea Pack,Groceries,5.0,312.25,0.05,1483.19,Central,Raipur,Regular,UPI,-35.54
ORD107253,2024-09-05,Snacks Combo,Groceries,3.0,518.15,0.25,1165.84,West,Mumbai,Premium,EMI,-62.23
ORD100797,2023-07-19,Backpack,Stationery,7.0,2625.57,0.15,15622.14,North,Chandigarh,Regular,Cash,2195.13
ORD102288,2023-11-29,Notebook Set,Stationery,2.0,199.37,0.25,299.06,West,Pune,Regular,Net Banking,34.88
ORD106798,2024-10-24,Cooking Oil,Groceries,2.0,405.27,0.0,810.54,West,Ahmedabad,Premium,UPI,31.01
ORD102795,2023-11-20,Smartphone,Electronics,1.0,50899.45,0.1,45809.5,West,Pune,Regular,Cash,5299.27
ORD107048,2023-11-14,Sofa,Furniture,3.0,30360.82,0.1,81974.21,South,Chennai,Premium,UPI,15491.75
ORD101454,2023-12-20,Office Chair,Furniture,1.0,7466.47,0.05,7093.15,South,Chennai,Regular,Debit Card,1435.34
ORD101370,2023-08-27,Rice Bag,Groceries,6.0,1382.88,0.1,7467.55,South,Bengaluru,New,Debit Card,368.91
ORD104130,2024-11-26,T-Shirt,Clothing,3.0,1144.44,0.0,3433.32,West,Surat,Corporate,Net Banking,1279.57
ORD108326,2024-09-07,Pen Pack,Stationery,6.0,256.55,0.0,1539.3,South,Hyderabad,Premium,Cash,505.11
ORD100591,2023-06-05,Snacks Combo,Groceries,9.0,334.7,0.2,2409.84,East,Guwahati,Corporate,Credit Card,-58.3
ORD105604,2024-07-19,Jeans,Clothing,3.0,2937.25,0.0,8811.75,Central,Indore,Regular,Cash,3589.98
ORD108279,2024-01-21,Smart Watch,Electronics,3.0,8786.08,0.1,23722.42,West,Mumbai,Premium,EMI,2575.42
ORD109078,2023-07-26,Tablet,Electronics,2.0,21142.89,0.15,35942.91,South,Bengaluru,Regular,Credit Card,2773.74
ORD104931,2023-11-16,Laptop,Electronics,1.0,39511.97,0.05,37536.37,Central,Nagpur,Corporate,Credit Card,4062.57
ORD109301,2024-07-23,Bluetooth Speaker,Electronics,3.0,11525.83,0.05,32848.62,West,Pune,New,Net Banking,1978.84
ORD105171,2023-11-05,Sneakers,Clothing,5.0,5129.03,0.05,24362.89,West,Mumbai,Corporate,Debit Card,9083.61
ORD108753,2023-04-19,T-Shirt,Clothing,3.0,1457.75,0.1,3935.92,Central,Nagpur,Premium,UPI,1387.03
ORD108818,2024-03-01,Pen Pack,Stationery,13.0,343.4,0.0,4464.2,South,Chennai,Premium,Credit Card,1170.54
ORD100081,2024-03-20,Art Kit,Stationery,9.0,683.82,0.15,5231.22,South,Chennai,Regular,UPI,1410.69
ORD101579,2024-08-29,Headphones,Electronics,2.0,8741.97,0.0,17483.94,South,Bengaluru,Corporate,UPI,3311.59
ORD101181,2024-02-14,Sneakers,Clothing,2.0,1486.36,0.1,2675.45,Central,,Premium,Cash,951.94
ORD107699,2024-05-21,Smartphone,Electronics,2.0,59989.58,0.15,101982.29,North,Chandigarh,Regular,Net Banking,7218.46
ORD105975,2023-07-03,Backpack,Stationery,10.0,2971.44,0.1,26742.96,Central,Raipur,Regular,UPI,5219.11
ORD100501,2024-01-10,Headphones,Electronics,3.0,2121.0,0.15,5408.55,East,Bhubaneswar,New,Debit Card,285.57
ORD106916,2024-04-29,Printer Paper,Stationery,7.0,1016.39,0.05,6758.99,North,Jaipur,New,UPI,
ORD109982,2023-07-06,Laptop,Electronics,2.0,78356.29,0.0,156712.58,East,Patna,Corporate,UPI,21058.23
ORD105738,2023-09-04,Art Kit,Stationery,7.0,1159.03,0.2,6490.57,South,Kochi,,Debit Card,1269.63
ORD102158,2024-12-04,Rice Bag,Groceries,11.0,1736.33,0.1,17189.67,Central,Bhopal,Regular,Cash,2198.69
ORD102488,2023-03-21,Smartphone,Electronics,2.0,10290.3,0.2,16464.48,South,Hyderabad,Premium,Cash,-413.04
ORD107677,2023-08-07,Coffee Pack,Groceries,10.0,312.72,0.15,2658.12,South,Chennai,Regular,Debit Card,255.6
ORD109167,2024-07-13,Coffee Pack,Groceries,7.0,863.11,0.05,5739.68,Central,Indore,Regular,Credit Card,792.36
ORD109746,2023-08-03,Tea Pack,Groceries,8.0,635.38,0.15,4320.58,West,Ahmedabad,Regular,UPI,-126.93
ORD107203,2024-12-16,Office Chair,Furniture,,12609.09,0.0,25218.18,North,Lucknow,Regular,Debit Card,6800.55
ORD104923,2024-03-19,Formal Shirt,Clothing,6.0,1908.57,0.25,8588.56,West,Ahmedabad,New,Net Banking,2193.96
ORD105460,2024-10-31,Printer Paper,Stationery,14.0,825.94,0.15,9828.69,West,Mumbai,Corporate,Net Banking,1589.9
ORD103762,2024-10-29,Jacket,Clothing,5.0,1789.37,0.0,8946.85,North,Delhi,New,Debit Card,3708.49
ORD107186,2024-01-20,Snacks Combo,Groceries,1.0,314.5,0.05,298.77,North,Lucknow,Regular,Debit Card,17.21
ORD101348,2023-12-16,Tea Pack,Groceries,1.0,578.04,0.15,491.33,West,Surat,Regular,Credit Card,64.89
ORD104337,2024-04-19,Coffee Pack,Groceries,6.0,704.88,0.1,3806.35,West,Mumbai,New,Debit Card,19.43
ORD108278,2023-08-24,Tea Pack,Groceries,8.0,735.45,0.05,5589.42,West,Pune,Regular,Net Banking,558.91
ORD105361,2023-02-15,Cooking Oil,Groceries,14.0,767.47,0.05,10207.35,North,Jaipur,New,Cash,393.9
ORD103316,2024-09-26,Pen Pack,Stationery,13.0,241.54,0.1,2826.02,West,Surat,Regular,UPI,571.5
ORD100170,2024-07-06,Laptop,Electronics,1.0,54908.76,0.0,54908.76,West,Ahmedabad,Premium,UPI,4942.26
ORD103533,2024-04-17,Smartphone,Electronics,2.0,21994.75,0.15,37391.07,North,Jaipur,Corporate,UPI,1009.35
ORD100533,2024-12-28,Smart Watch,Electronics,2.0,13692.13,0.2,21907.41,North,Jaipur,New,EMI,954.82
ORD105559,2023-10-24,Jacket,Clothing,5.0,5867.07,0.05,27868.58,West,Surat,New,Credit Card,
ORD104707,2024-01-04,Jeans,Clothing,5.0,2838.94,0.0,14194.7,West,Mumbai,Regular,Cash,4153.15
ORD102214,2024-04-03,Tablet,Electronics,3.0,30253.12,0.05,86221.39,Central,Bhopal,New,Net Banking,13336.24
ORD104048,2024-09-25,Office Chair,Furniture,3.0,9425.88,0.1,25449.88,South,Kochi,Corporate,Credit Card,5367.24
ORD102123,2024-12-26,Sneakers,Clothing,3.0,8653.12,0.0,25959.36,East,Guwahati,Premium,Cash,8990.55
ORD107734,2024-08-01,Formal Shirt,Clothing,2.0,2492.66,0.2,3988.26,South,Kochi,New,UPI,1367.11
ORD107960,2023-05-21,Rice Bag,Groceries,12.0,1583.31,0.1,17099.75,Central,Nagpur,Premium,Cash,1116.86
ORD108640,2023-07-12,Bed Frame,Furniture,2.0,14506.17,0.1,26111.11,West,Mumbai,Regular,Net Banking,4358.69
ORD107921,2023-07-13,Bookshelf,Furniture,2.0,8900.77,0.05,16911.46,Central,Bhopal,Regular,UPI,2990.45
ORD102363,2023-10-24,Backpack,Stationery,13.0,4098.73,0.15,45290.97,North,Delhi,Regular,Debit Card,9766.9
ORD109548,2023-12-31,T-Shirt,Clothing,5.0,349.04,0.1,1570.68,South,Hyderabad,Corporate,Cash,490.4
ORD104953,2023-03-02,Snacks Combo,Groceries,9.0,547.88,0.15,4191.28,East,Patna,Premium,Cash,323.54
ORD107692,2024-12-06,Jacket,Clothing,4.0,4535.99,0.05,17236.76,West,Surat,Premium,Cash,6138.38
ORD107390,2023-04-24,Coffee Pack,Groceries,4.0,1103.73,0.15,3752.68,West,Surat,Premium,Cash,-276.33
ORD106920,2024-08-04,Snacks Combo,Groceries,14.0,342.86,0.15,4080.03,Central,Nagpur,Premium,Net Banking,174.89
ORD108772,2023-12-23,Printer Paper,Stationery,14.0,595.25,0.3,5833.45,North,Chandigarh,Regular,Cash,857.89
ORD107898,2023-10-25,Pen Pack,Stationery,4.0,254.65,0.0,1018.6,North,Chandigarh,New,UPI,265.38
ORD105971,2023-01-05,Coffee Pack,Groceries,15.0,861.32,0.05,12273.81,Central,Indore,Corporate,EMI,1706.74
ORD103061,2024-10-19,Office Chair,Furniture,1.0,12871.59,0.2,10297.27,West,Surat,Premium,Net Banking,1477.71
ORD105432,2023-08-29,Bluetooth Speaker,Electronics,2.0,7853.04,0.05,14920.78,West,Ahmedabad,Regular,Debit Card,2253.67
ORD102037,2024-11-10,Sneakers,Clothing,3.0,2001.02,0.0,6003.06,Central,Nagpur,Regular,Cash,2281.94
ORD105925,2024-05-20,Printer Paper,Stationery,14.0,495.64,0.1,6245.06,East,Guwahati,Premium,Debit Card,1797.67
ORD104801,2024-10-29,Sneakers,Clothing,5.0,1578.9,0.05,7499.78,East,Bhubaneswar,Regular,Debit Card,2968.53
ORD105800,2024-01-26,Bed Frame,Furniture,1.0,42862.86,,42862.86,South,Bengaluru,Premium,Net Banking,15585.51
ORD108460,2024-05-27,Office Chair,Furniture,3.0,10488.02,0.0,31464.06,Central,Indore,New,UPI,7270.29
ORD108900,2023-04-28,Laptop,Electronics,1.0,68544.23,0.25,51408.17,North,Chandigarh,New,UPI,3733.69
ORD102517,2023-10-08,Cooking Oil,Groceries,15.0,802.79,0.2,9633.48,East,Guwahati,Premium,UPI,-128.28
ORD108873,2024-04-30,Snacks Combo,Groceries,5.0,591.95,0.0,2959.75,Central,Raipur,Regular,Debit Card,549.13
ORD109285,2023-07-13,Laptop,Electronics,2.0,66937.41,0.05,127181.08,North,Jaipur,Premium,Credit Card,7009.16
ORD100040,2023-05-09,Rice Bag,Groceries,8.0,1468.19,0.1,10570.97,West,Surat,New,Net Banking,463.52
ORD104909,2024-12-27,Snacks Combo,Groceries,1.0,275.38,0.1,247.84,Central,Nagpur,New,Cash,22.51
ORD106102,2023-09-04,Printer Paper,Stationery,3.0,294.42,0.2,706.61,South,Chennai,Regular,EMI,138.69
ORD103315,2024-12-12,Bed Frame,Furniture,3.0,16984.16,0.15,43309.61,North,Delhi,Premium,Net Banking,6057.11
ORD106780,2023-10-05,Office Chair,Furniture,3.0,17254.76,0.05,49176.07,South,Bengaluru,New,Credit Card,7431.84
ORD103845,2023-09-06,Printer Paper,Stationery,3.0,978.79,0.25,2202.28,South,Bengaluru,New,UPI,491.84
ORD104534,2023-08-01,Coffee Pack,Groceries,9.0,792.57,0.25,5349.85,West,Mumbai,Premium,UPI,327.04
ORD109283,2023-08-30,Tablet,Electronics,3.0,35555.36,0.2,85332.86,West,Pune,Regular,Net Banking,6747.93
ORD100305,2024-12-01,Formal Shirt,Clothing,1.0,626.96,0.0,626.96,South,Hyderabad,Regular,Debit Card,184.89
ORD102690,2023-01-17,Backpack,Stationery,1.0,2037.63,0.25,1528.22,South,Hyderabad,New,EMI,236.29
ORD104024,2024-03-25,Study Table,Furniture,2.0,12739.03,0.3,17834.64,East,Kolkata,Premium,Cash,806.52
ORD101693,2024-08-01,Cooking Oil,Groceries,15.0,819.28,0.05,11674.74,East,Kolkata,Regular,UPI,652.92
ORD106740,2024-03-07,T-Shirt,Clothing,1.0,1227.35,0.2,981.88,Central,Nagpur,New,Credit Card,204.7
ORD101497,2024-03-28,Formal Shirt,Clothing,3.0,1572.35,0.15,4009.49,West,Ahmedabad,Regular,Net Banking,1588.36
ORD101254,2023-12-27,Snacks Combo,Groceries,2.0,296.36,0.0,592.72,North,,Corporate,Credit Card,58.35
ORD109471,2024-10-17,Sofa,Furniture,2.0,27664.79,0.0,55329.58,North,,Premium,UPI,11660.99
ORD106056,2024-04-20,Pen Pack,Stationery,12.0,308.7,0.0,3704.4,South,Bengaluru,Corporate,Credit Card,743.3
ORD104305,2023-12-28,Cooking Oil,Groceries,14.0,160.03,0.0,2240.42,Central,Raipur,New,Cash,282.19
ORD102485,2024-11-20,Bookshelf,Furniture,3.0,5876.3,0.05,16747.46,Central,Indore,Premium,UPI,1797.98
ORD106147,2023-08-29,Formal Shirt,Clothing,6.0,871.57,0.0,5229.42,North,Jaipur,Regular,Credit Card,2136.51
ORD103615,2024-09-07,Coffee Pack,Groceries,2.0,338.05,0.25,507.08,East,Bhubaneswar,New,UPI,-4.71
ORD106316,2024-11-01,Smartphone,Electronics,2.0,23673.71,0.25,35510.56,West,Surat,Regular,UPI,2153.83
ORD104201,2023-07-06,Cooking Oil,Groceries,15.0,271.89,0.0,4078.35,West,Ahmedabad,Corporate,Cash,139.49
ORD108061,2023-03-04,Bed Frame,Furniture,2.0,20875.82,0.05,39664.06,South,Bengaluru,Regular,UPI,5688.46
ORD102179,2024-02-10,Rice Bag,Groceries,11.0,1691.27,0.0,18603.97,West,Ahmedabad,New,Credit Card,666.94
ORD101340,2024-05-05,Bed Frame,Furniture,2.0,36838.56,0.1,66309.41,North,Lucknow,Regular,Credit Card,8015.5
ORD100252,2023-05-05,Jeans,Clothing,2.0,967.78,0.1,1742.0,North,Delhi,,Credit Card,564.14
ORD100296,2024-01-29,Jacket,Clothing,4.0,4584.26,0.0,18337.04,North,Jaipur,New,UPI,6879.04
ORD103887,2023-12-01,Headphones,Electronics,3.0,1096.57,0.05,3125.22,East,Kolkata,New,Debit Card,574.46
ORD105901,2023-12-20,Art Kit,Stationery,8.0,656.1,0.2,4199.04,East,Bhubaneswar,Regular,Cash,741.24
